user_id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,poutcome,y
BA2200051,54,admin.,married,high school,no,no,no,telephone,may,mon,160,nonexistent,no
BA2200052,39,housemaid,married,postgraduate,no,no,yes,telephone,may,mon,266,nonexistent,no
BA2200053,60,admin.,married,high school,no,no,no,telephone,may,mon,253,nonexistent,no
BA2200054,53,admin.,single,junior college,no,no,no,telephone,may,mon,179,nonexistent,no
BA2200055,55,blue-collar,married,postgraduate,,no,no,telephone,may,mon,269,nonexistent,no
BA2200056,55,technician,married,junior college,,yes,no,telephone,may,mon,135,nonexistent,no
BA2200057,50,management,married,undergraduate,,no,yes,telephone,may,mon,161,nonexistent,no
BA2200058,45,services,married,high school,,yes,no,telephone,may,mon,787,nonexistent,no
BA2200059,55,unemployed,married,junior college,,yes,yes,telephone,may,mon,145,nonexistent,no
BA2200060,25,technician,single,undergraduate,no,yes,no,telephone,may,mon,174,nonexistent,no
BA2200061,47,entrepreneur,married,undergraduate,,no,no,telephone,may,mon,449,nonexistent,no
BA2200062,51,blue-collar,married,postgraduate,no,yes,no,telephone,may,mon,812,nonexistent,no
BA2200063,42,blue-collar,married,postgraduate,,yes,no,telephone,may,mon,164,nonexistent,no
BA2200064,42,blue-collar,married,postgraduate,,no,no,telephone,may,mon,366,nonexistent,no
BA2200065,48,admin.,married,high school,no,no,no,telephone,may,mon,357,nonexistent,no
BA2200066,37,admin.,married,undergraduate,no,no,no,telephone,may,mon,232,nonexistent,no
BA2200067,44,blue-collar,single,postgraduate,no,yes,no,telephone,may,mon,91,nonexistent,no
BA2200068,33,admin.,married,,no,yes,no,telephone,may,mon,273,nonexistent,no
BA2200069,56,admin.,married,postgraduate,no,yes,no,telephone,may,mon,158,nonexistent,no
BA2200070,44,blue-collar,single,postgraduate,,yes,yes,telephone,may,mon,177,nonexistent,no
BA2200071,41,management,married,postgraduate,no,no,no,telephone,may,mon,200,nonexistent,no
BA2200072,44,management,divorced,undergraduate,no,yes,no,telephone,may,mon,172,nonexistent,no
BA2200073,47,admin.,married,undergraduate,,yes,no,telephone,may,mon,176,nonexistent,no
BA2200074,57,,married,,,no,no,telephone,may,mon,211,nonexistent,no
BA2200075,37,admin.,married,undergraduate,,yes,no,telephone,may,mon,214,nonexistent,no
BA2200076,41,blue-collar,divorced,postgraduate,,yes,no,telephone,may,mon,1575,nonexistent,yes
BA2200077,55,technician,married,undergraduate,no,no,no,telephone,may,mon,349,nonexistent,no
BA2200016,33,services,married,high school,,yes,no,telephone,may,mon,337,nonexistent,no
BA2200079,55,management,married,,,yes,no,telephone,may,mon,272,nonexistent,no
BA2200080,42,blue-collar,married,postgraduate,,no,no,telephone,may,mon,208,nonexistent,no
BA2200081,50,blue-collar,married,postgraduate,,yes,no,telephone,may,mon,193,nonexistent,no
BA2200082,51,blue-collar,married,postgraduate,,,,telephone,may,mon,212,nonexistent,no
BA2200083,38,admin.,married,high school,,no,no,telephone,may,mon,165,nonexistent,no
BA2200084,49,entrepreneur,married,undergraduate,,yes,no,telephone,may,mon,1042,nonexistent,yes
BA2200085,38,technician,single,undergraduate,no,no,yes,telephone,may,mon,20,nonexistent,no
BA2200086,31,admin.,divorced,high school,no,no,no,telephone,may,mon,246,nonexistent,no
BA2200087,41,management,married,postgraduate,no,no,no,telephone,may,mon,529,nonexistent,no
BA2200088,39,admin.,married,undergraduate,no,yes,yes,telephone,may,mon,192,nonexistent,no
BA2200089,49,technician,married,postgraduate,no,no,no,telephone,may,mon,1467,nonexistent,yes
BA2200090,34,admin.,married,high school,no,yes,no,telephone,may,mon,188,nonexistent,no
BA2200091,35,admin.,married,undergraduate,no,yes,no,telephone,may,mon,180,nonexistent,no
BA2200092,57,,married,,,yes,no,telephone,may,mon,48,nonexistent,no
BA2200093,60,admin.,married,,,no,yes,telephone,may,mon,213,nonexistent,no
BA2200094,33,unemployed,married,postgraduate,no,no,no,telephone,may,mon,545,nonexistent,no
BA2200095,42,blue-collar,married,postgraduate,no,no,yes,telephone,may,mon,583,nonexistent,no
BA2200096,45,services,married,junior college,no,yes,no,telephone,may,mon,221,nonexistent,no
BA2200097,42,management,married,undergraduate,no,no,no,telephone,may,mon,426,nonexistent,no
BA2200098,53,admin.,divorced,undergraduate,,no,no,telephone,may,mon,287,nonexistent,no
BA2200099,37,technician,single,junior college,no,no,no,telephone,may,mon,197,nonexistent,no
BA2200100,44,blue-collar,married,postgraduate,no,no,no,telephone,may,mon,257,nonexistent,no
BA2200101,54,services,married,,no,yes,no,telephone,may,mon,229,nonexistent,no
BA2200102,49,blue-collar,married,postgraduate,no,no,no,telephone,may,mon,55,nonexistent,no
BA2200103,54,services,married,,no,no,no,telephone,may,mon,400,nonexistent,no
BA2200104,52,admin.,divorced,undergraduate,no,no,no,telephone,may,mon,197,nonexistent,no
BA2200105,52,admin.,divorced,undergraduate,no,no,no,telephone,may,mon,190,nonexistent,no
BA2200106,43,services,single,high school,,no,no,telephone,may,mon,21,nonexistent,no
BA2200107,34,housemaid,married,postgraduate,no,yes,no,telephone,may,mon,300,nonexistent,no
BA2200108,35,admin.,married,high school,no,yes,no,telephone,may,mon,123,nonexistent,no
BA2200109,42,entrepreneur,married,,,yes,no,telephone,may,mon,293,nonexistent,no
BA2200110,43,technician,married,,,yes,yes,telephone,may,mon,325,nonexistent,no
BA2200111,60,retired,divorced,undergraduate,,no,no,telephone,may,mon,514,nonexistent,no
BA2200112,58,unemployed,married,postgraduate,,no,no,telephone,may,mon,849,nonexistent,no
BA2200113,35,services,divorced,high school,no,yes,no,telephone,may,mon,194,nonexistent,no
BA2200114,55,blue-collar,married,postgraduate,,yes,no,telephone,may,mon,212,nonexistent,no
BA2200115,37,management,married,undergraduate,no,no,no,telephone,may,mon,337,nonexistent,no
BA2200116,36,blue-collar,married,high school,no,no,no,telephone,may,mon,286,nonexistent,no
BA2200117,52,admin.,divorced,undergraduate,no,no,no,telephone,may,mon,247,nonexistent,no
BA2200118,57,blue-collar,divorced,,,yes,no,telephone,may,mon,518,nonexistent,no
BA2200119,56,admin.,married,,no,yes,no,telephone,may,mon,364,nonexistent,no
BA2200120,48,blue-collar,divorced,postgraduate,,yes,no,telephone,may,mon,178,nonexistent,no
BA2200121,40,blue-collar,married,high school,,yes,no,telephone,may,mon,98,nonexistent,no
BA2200122,49,blue-collar,divorced,high school,no,no,no,telephone,may,mon,439,nonexistent,no
BA2200123,41,services,married,high school,no,no,no,telephone,may,mon,139,nonexistent,no
BA2200124,45,technician,married,high school,no,yes,no,telephone,may,mon,79,nonexistent,no
BA2201983,32,admin.,married,undergraduate,no,yes,yes,telephone,may,mon,175,nonexistent,no
BA2200126,42,admin.,married,undergraduate,no,no,yes,telephone,may,mon,262,nonexistent,no
BA2200127,50,admin.,married,postgraduate,no,no,no,telephone,may,mon,61,nonexistent,no
BA2200128,31,technician,divorced,junior college,no,yes,yes,telephone,may,mon,78,nonexistent,no
BA2200129,56,retired,married,postgraduate,no,yes,no,telephone,may,mon,102,nonexistent,no
BA2200130,41,technician,married,junior college,,yes,no,telephone,may,mon,579,nonexistent,yes
BA2200131,37,blue-collar,married,postgraduate,no,yes,yes,telephone,may,mon,143,nonexistent,no
BA2200132,41,technician,married,junior college,,no,no,telephone,may,mon,677,nonexistent,no
BA2200133,35,blue-collar,married,,no,yes,no,telephone,may,mon,267,nonexistent,no
BA2200134,37,blue-collar,married,postgraduate,no,yes,no,telephone,may,mon,345,nonexistent,no
BA2200135,52,management,married,undergraduate,no,no,no,telephone,may,mon,185,nonexistent,no
BA2200136,39,management,divorced,undergraduate,no,no,no,telephone,may,mon,207,nonexistent,no
BA2200137,39,housemaid,married,postgraduate,,no,no,telephone,may,mon,69,nonexistent,no
BA2200138,56,blue-collar,married,postgraduate,,no,no,telephone,may,mon,100,nonexistent,no
BA2200139,34,services,married,high school,no,yes,no,telephone,may,mon,125,nonexistent,no
BA2200140,45,blue-collar,married,postgraduate,,yes,no,telephone,may,mon,461,nonexistent,yes
BA2200141,43,unemployed,single,undergraduate,no,yes,no,telephone,may,mon,240,nonexistent,no
BA2200142,56,management,married,,no,yes,no,telephone,may,mon,70,nonexistent,no
BA2200143,39,management,married,undergraduate,no,yes,no,telephone,may,mon,193,nonexistent,no
BA2200144,53,blue-collar,married,postgraduate,no,yes,no,telephone,may,mon,136,nonexistent,no
BA2200145,38,,divorced,high school,,yes,no,telephone,may,mon,73,nonexistent,no
BA2200146,42,blue-collar,married,postgraduate,,yes,no,telephone,may,mon,528,nonexistent,no
BA2200147,42,blue-collar,married,postgraduate,,no,no,telephone,may,mon,541,nonexistent,no
BA2200148,35,admin.,single,high school,no,yes,no,telephone,may,mon,338,nonexistent,no
BA2200149,40,admin.,married,undergraduate,,yes,no,telephone,may,mon,163,nonexistent,no
BA2200150,51,blue-collar,married,postgraduate,no,yes,no,telephone,may,mon,87,nonexistent,no
BA2200151,60,blue-collar,married,postgraduate,,no,no,telephone,may,mon,301,nonexistent,no
BA2200152,56,entrepreneur,married,,,yes,no,telephone,may,mon,46,nonexistent,no
BA2200153,39,services,divorced,high school,,yes,no,telephone,may,mon,52,nonexistent,no
BA2200154,56,entrepreneur,married,,,no,no,telephone,may,mon,204,nonexistent,no
BA2200155,40,blue-collar,married,,no,yes,yes,telephone,may,mon,155,nonexistent,no
BA2200156,36,blue-collar,married,postgraduate,no,yes,yes,telephone,may,mon,98,nonexistent,no
BA2200157,51,blue-collar,married,,,yes,no,telephone,may,mon,71,nonexistent,no
BA2200158,51,blue-collar,married,,,no,no,telephone,may,mon,243,nonexistent,no
BA2200159,43,technician,single,junior college,no,yes,no,telephone,may,mon,186,nonexistent,no
BA2200160,59,services,married,high school,no,no,no,telephone,may,mon,579,nonexistent,no
BA2200161,24,management,single,undergraduate,no,yes,no,telephone,may,mon,165,nonexistent,no
BA2200162,37,blue-collar,single,postgraduate,,yes,yes,telephone,may,mon,163,nonexistent,no
BA2200163,40,blue-collar,married,postgraduate,,no,no,telephone,may,mon,46,nonexistent,no
BA2200164,42,blue-collar,married,postgraduate,,no,no,telephone,may,mon,559,nonexistent,no
BA2200165,39,services,divorced,high school,,no,no,telephone,may,mon,2033,nonexistent,no
BA2200166,37,entrepreneur,married,postgraduate,no,no,no,telephone,may,mon,85,nonexistent,no
BA2200167,38,services,married,high school,no,yes,yes,telephone,may,mon,506,nonexistent,no
BA2200168,56,admin.,divorced,,,no,no,telephone,may,mon,114,nonexistent,no
BA2200169,40,blue-collar,married,,no,no,no,telephone,may,mon,114,nonexistent,no
BA2200170,54,management,divorced,undergraduate,no,yes,no,telephone,may,mon,843,nonexistent,no
BA2200171,43,blue-collar,married,high school,,no,yes,telephone,may,mon,181,nonexistent,no
BA2200172,36,services,married,high school,,no,no,telephone,may,mon,427,nonexistent,no
BA2200173,45,technician,married,undergraduate,no,yes,yes,telephone,may,mon,292,nonexistent,no
BA2200174,42,admin.,single,undergraduate,,no,no,telephone,may,mon,192,nonexistent,no
BA2200175,43,services,married,high school,no,no,no,telephone,may,mon,93,nonexistent,no
BA2200176,46,management,married,postgraduate,no,no,no,telephone,may,mon,128,nonexistent,no
BA2200177,44,services,married,high school,no,yes,yes,telephone,may,mon,107,nonexistent,no
BA2200178,51,admin.,single,postgraduate,no,no,no,telephone,may,mon,303,nonexistent,no
BA2200179,28,services,married,high school,no,yes,no,telephone,may,mon,81,nonexistent,no
BA2200180,37,blue-collar,married,postgraduate,no,no,no,telephone,may,mon,270,nonexistent,no
BA2200181,34,technician,married,high school,no,no,no,telephone,may,mon,228,nonexistent,no
BA2200182,46,blue-collar,married,postgraduate,,yes,no,telephone,may,mon,240,nonexistent,no
BA2200183,42,blue-collar,married,postgraduate,no,yes,yes,telephone,may,mon,673,nonexistent,yes
BA2200184,36,admin.,married,undergraduate,no,yes,no,telephone,may,mon,233,nonexistent,no
BA2200185,54,blue-collar,married,postgraduate,,no,no,telephone,may,mon,102,nonexistent,no
BA2200186,57,management,married,undergraduate,no,no,no,telephone,may,mon,461,nonexistent,no
BA2200187,51,technician,married,postgraduate,,no,no,telephone,may,mon,250,nonexistent,no
BA2200188,54,retired,married,high school,,no,no,telephone,may,mon,130,nonexistent,no
BA2200189,49,blue-collar,married,postgraduate,,no,no,telephone,may,mon,252,nonexistent,no
BA2200190,34,admin.,married,undergraduate,no,yes,no,telephone,may,mon,138,nonexistent,no
BA2200191,41,technician,married,junior college,no,no,no,telephone,may,mon,412,nonexistent,no
BA2200192,38,blue-collar,single,postgraduate,no,yes,no,telephone,may,mon,179,nonexistent,no
BA2200193,45,management,divorced,undergraduate,no,no,no,telephone,may,mon,19,nonexistent,no
BA2200194,42,technician,married,undergraduate,no,no,no,telephone,may,mon,228,nonexistent,no
BA2200195,34,blue-collar,single,postgraduate,,yes,no,telephone,may,mon,55,nonexistent,no
BA2200196,48,blue-collar,married,postgraduate,no,yes,no,telephone,may,mon,717,nonexistent,no
BA2200197,37,admin.,married,high school,,yes,no,telephone,may,mon,313,nonexistent,no
BA2200198,34,blue-collar,single,postgraduate,,no,no,telephone,may,mon,289,nonexistent,no
BA2200199,40,admin.,married,postgraduate,,yes,no,telephone,may,mon,683,nonexistent,no
BA2200200,43,blue-collar,married,postgraduate,no,yes,no,telephone,may,mon,1077,nonexistent,no
BA2200201,33,services,married,high school,no,no,no,telephone,may,mon,146,nonexistent,no
BA2200202,32,services,single,postgraduate,no,no,no,telephone,may,mon,167,nonexistent,no
BA2200203,39,blue-collar,married,high school,no,yes,no,telephone,may,mon,356,nonexistent,no
BA2200204,43,admin.,married,,no,no,no,telephone,may,mon,277,nonexistent,no
BA2200205,44,blue-collar,married,postgraduate,no,yes,no,telephone,may,mon,172,nonexistent,no
BA2200206,35,student,single,undergraduate,,no,no,telephone,may,mon,218,nonexistent,no
BA2200207,35,student,single,undergraduate,,yes,yes,telephone,may,mon,217,nonexistent,no
BA2200208,35,unemployed,married,junior college,no,no,no,telephone,may,mon,67,nonexistent,no
BA2200209,36,services,single,postgraduate,no,no,no,telephone,may,mon,291,nonexistent,no
BA2200210,35,student,single,undergraduate,,yes,no,telephone,may,mon,248,nonexistent,no
BA2200211,36,student,single,postgraduate,no,yes,no,telephone,may,mon,256,nonexistent,no
BA2200212,55,housemaid,divorced,undergraduate,no,no,no,telephone,may,mon,286,nonexistent,no
BA2200213,59,admin.,married,undergraduate,no,no,no,telephone,may,mon,477,nonexistent,no
BA2200214,57,retired,married,,,no,no,telephone,may,mon,611,nonexistent,no
BA2200215,39,blue-collar,married,junior college,,yes,no,telephone,may,mon,471,nonexistent,no
BA2200216,39,housemaid,married,postgraduate,,yes,no,telephone,may,mon,381,nonexistent,no
BA2200217,30,blue-collar,single,,no,yes,no,telephone,may,mon,251,nonexistent,no
BA2200218,30,blue-collar,single,,no,yes,yes,telephone,may,mon,408,nonexistent,no
BA2200219,50,housemaid,married,postgraduate,,no,no,telephone,may,mon,287,nonexistent,no
BA2200220,40,services,married,high school,no,no,no,telephone,may,mon,322,nonexistent,no
BA2200221,35,admin.,married,high school,no,yes,no,telephone,may,mon,216,nonexistent,no
BA2200222,43,technician,married,,,no,no,telephone,may,mon,366,nonexistent,no
BA2200223,36,services,single,postgraduate,,yes,no,telephone,may,mon,210,nonexistent,no
BA2200224,46,technician,married,postgraduate,,yes,no,telephone,may,mon,288,nonexistent,no
BA2200225,40,technician,married,postgraduate,no,no,no,telephone,may,mon,168,nonexistent,no
BA2200226,58,retired,married,undergraduate,no,no,no,telephone,may,mon,132,nonexistent,no
BA2200227,42,technician,married,undergraduate,no,no,no,telephone,may,mon,64,nonexistent,no
BA2200228,35,admin.,single,undergraduate,no,no,no,telephone,may,mon,209,nonexistent,no
BA2200229,43,retired,married,postgraduate,,no,no,telephone,may,mon,410,nonexistent,no
BA2200230,45,blue-collar,married,postgraduate,no,yes,yes,telephone,may,mon,177,nonexistent,no
BA2200231,39,admin.,married,junior college,no,yes,no,telephone,may,mon,580,nonexistent,no
BA2200232,50,services,divorced,junior college,no,yes,no,telephone,may,mon,165,nonexistent,no
BA2200233,32,management,divorced,postgraduate,,yes,no,telephone,may,mon,127,nonexistent,no
BA2200234,39,admin.,married,high school,,no,no,telephone,may,mon,357,nonexistent,no
BA2200235,52,self-employed,married,undergraduate,,no,no,telephone,may,mon,175,nonexistent,no
BA2200236,44,admin.,married,junior college,no,yes,no,telephone,may,mon,300,nonexistent,no
BA2200237,56,blue-collar,married,postgraduate,no,no,no,telephone,may,mon,136,nonexistent,no
BA2200238,48,admin.,married,high school,no,no,no,telephone,may,mon,125,nonexistent,no
BA2200239,33,services,married,high school,,no,yes,telephone,may,mon,189,nonexistent,no
BA2200240,43,management,married,undergraduate,,no,yes,telephone,may,mon,213,nonexistent,no
BA2200241,57,retired,married,high school,no,no,no,telephone,may,mon,238,nonexistent,no
BA2200242,36,technician,single,junior college,no,no,no,telephone,may,mon,124,nonexistent,no
BA2200243,34,management,married,undergraduate,no,yes,no,telephone,may,mon,18,nonexistent,no
BA2200244,34,services,single,postgraduate,no,no,no,telephone,may,mon,730,nonexistent,no
BA2200245,30,technician,married,undergraduate,,no,no,telephone,may,mon,40,nonexistent,no
BA2200246,33,services,divorced,,no,no,no,telephone,may,mon,181,nonexistent,no
BA2200247,32,technician,single,junior college,no,no,no,telephone,may,mon,79,nonexistent,no
BA2200248,36,technician,single,high school,no,yes,no,telephone,may,mon,142,nonexistent,no
BA2200249,36,blue-collar,single,high school,no,no,yes,telephone,may,mon,389,nonexistent,no
BA2200250,33,services,single,high school,no,no,no,telephone,may,mon,702,nonexistent,no
BA2200251,40,technician,divorced,junior college,no,no,no,telephone,may,mon,151,nonexistent,no
BA2200252,41,blue-collar,married,postgraduate,no,yes,no,telephone,may,mon,211,nonexistent,no
BA2200253,51,services,married,postgraduate,no,yes,no,telephone,may,mon,117,nonexistent,no
BA2200254,36,technician,married,junior college,no,yes,no,telephone,may,mon,232,nonexistent,no
BA2200255,28,services,married,,no,no,no,telephone,may,mon,408,nonexistent,no
BA2200256,53,services,married,high school,no,yes,yes,telephone,may,mon,370,nonexistent,no
BA2200257,58,blue-collar,married,postgraduate,,yes,no,telephone,may,mon,179,nonexistent,no
BA2200258,45,management,married,postgraduate,no,no,yes,telephone,may,mon,46,nonexistent,no
BA2200259,43,technician,married,,no,yes,no,telephone,may,mon,200,nonexistent,no
BA2200260,33,admin.,married,high school,no,no,yes,telephone,may,mon,50,nonexistent,no
BA2200261,33,admin.,married,high school,no,no,yes,telephone,may,mon,181,nonexistent,no
BA2200262,27,blue-collar,single,postgraduate,no,,,telephone,may,mon,119,nonexistent,no
BA2200263,42,technician,married,high school,no,no,no,telephone,may,mon,361,nonexistent,no
BA2200264,43,admin.,divorced,postgraduate,no,no,no,telephone,may,mon,73,nonexistent,no
BA2200265,42,admin.,married,undergraduate,no,no,no,telephone,may,mon,67,nonexistent,no
BA2200266,27,blue-collar,single,postgraduate,no,no,no,telephone,may,mon,350,nonexistent,no
BA2200267,34,self-employed,single,undergraduate,no,yes,no,telephone,may,mon,150,nonexistent,no
BA2200268,31,student,single,undergraduate,,no,no,telephone,may,mon,332,nonexistent,no
BA2200269,54,management,divorced,undergraduate,no,no,no,telephone,may,mon,611,nonexistent,no
BA2200270,40,self-employed,married,postgraduate,,no,no,telephone,may,mon,58,nonexistent,no
BA2200271,52,unemployed,married,high school,,yes,no,telephone,may,mon,151,nonexistent,no
BA2200272,47,management,divorced,undergraduate,no,no,no,telephone,may,mon,89,nonexistent,no
BA2200273,49,housemaid,married,postgraduate,,no,no,telephone,may,mon,152,nonexistent,no
BA2200274,32,admin.,single,high school,no,no,no,telephone,may,mon,611,nonexistent,no
BA2200275,49,housemaid,single,high school,,yes,yes,telephone,may,mon,110,nonexistent,no
BA2200276,50,blue-collar,married,postgraduate,,no,no,telephone,may,mon,463,nonexistent,no
BA2200277,34,services,married,high school,no,no,no,telephone,may,mon,962,nonexistent,no
BA2200278,55,blue-collar,married,postgraduate,,no,no,telephone,may,mon,102,nonexistent,no
BA2200279,47,technician,single,postgraduate,no,no,no,telephone,may,mon,10,nonexistent,no
BA2200280,51,retired,married,junior college,no,no,no,telephone,may,mon,118,nonexistent,no
BA2200281,47,blue-collar,married,postgraduate,no,no,no,telephone,may,mon,92,nonexistent,no
BA2200282,56,technician,married,postgraduate,no,yes,no,telephone,may,mon,143,nonexistent,no
BA2200283,53,admin.,married,postgraduate,no,no,no,telephone,may,mon,189,nonexistent,no
BA2200284,36,blue-collar,married,postgraduate,no,yes,no,telephone,may,mon,75,nonexistent,no
BA2200285,42,blue-collar,divorced,postgraduate,no,yes,no,telephone,may,mon,189,nonexistent,no
BA2200286,44,blue-collar,divorced,postgraduate,no,no,no,telephone,may,mon,55,nonexistent,no
BA2200287,39,housemaid,married,postgraduate,no,yes,no,telephone,may,mon,935,nonexistent,yes
BA2200288,37,admin.,single,high school,no,yes,yes,telephone,may,mon,56,nonexistent,no
BA2200289,60,blue-collar,married,,,yes,no,telephone,may,mon,5,nonexistent,no
BA2200290,36,services,married,high school,no,no,no,telephone,may,mon,225,nonexistent,no
BA2200291,42,management,divorced,undergraduate,no,yes,no,telephone,may,mon,125,nonexistent,no
BA2200292,31,admin.,married,high school,no,yes,yes,telephone,may,mon,286,nonexistent,no
BA2200293,53,technician,divorced,junior college,,no,yes,telephone,may,mon,206,nonexistent,no
BA2200294,45,blue-collar,married,postgraduate,no,yes,no,telephone,may,mon,164,nonexistent,no
BA2200295,37,technician,single,junior college,no,yes,no,telephone,may,mon,98,nonexistent,no
BA2200296,47,self-employed,married,junior college,no,no,no,telephone,may,mon,446,nonexistent,no
BA2200297,49,blue-collar,divorced,high school,no,no,yes,telephone,may,mon,742,nonexistent,no
BA2200298,36,admin.,married,undergraduate,no,yes,no,telephone,may,mon,120,nonexistent,no
BA2200299,35,services,divorced,high school,no,no,no,telephone,may,mon,122,nonexistent,no
BA2200300,38,,married,,,no,no,telephone,may,mon,362,nonexistent,no
BA2200301,38,services,single,high school,,no,no,telephone,may,mon,357,nonexistent,no
BA2200302,50,blue-collar,divorced,high school,,no,yes,telephone,may,mon,200,nonexistent,no
BA2200303,59,retired,married,junior college,,no,no,telephone,may,mon,107,nonexistent,no
BA2200304,43,,married,,no,yes,no,telephone,may,mon,267,nonexistent,no
BA2200305,42,admin.,married,high school,no,yes,no,telephone,may,mon,248,nonexistent,no
BA2200306,40,admin.,married,postgraduate,,yes,no,telephone,may,mon,215,nonexistent,no
BA2200307,46,blue-collar,married,,,no,no,telephone,may,mon,209,nonexistent,no
BA2200308,57,housemaid,divorced,postgraduate,no,yes,yes,telephone,may,mon,205,nonexistent,no
BA2200309,42,admin.,married,undergraduate,no,yes,no,telephone,may,mon,261,nonexistent,no
BA2200310,41,blue-collar,married,postgraduate,no,yes,no,telephone,may,mon,83,nonexistent,no
BA2200311,54,management,divorced,undergraduate,no,yes,no,telephone,may,mon,106,nonexistent,no
BA2200312,27,admin.,single,undergraduate,no,no,no,telephone,may,mon,106,nonexistent,no
BA2200313,36,admin.,married,high school,no,no,no,telephone,may,mon,108,nonexistent,no
BA2200314,58,blue-collar,married,junior college,,yes,no,telephone,may,mon,214,nonexistent,no
BA2200315,40,management,married,undergraduate,,yes,no,telephone,may,mon,358,nonexistent,no
